station_id,datetime,component_type,component_value,id,name,district,lon,lat,hour
ABREA,2026-03-13 02:00:00,NO2,11.6,ABREA,Praha 6-Břevnov,praha-6,14.380116,50.084385,2026-03-13 02:00
AKOBA,2026-03-13 02:00:00,O3,20.1,AKOBA,Praha 8-Kobylisy,praha-8,14.467578,50.122189,2026-03-13 02:00
AKOBA,2026-03-13 02:00:00,NO2,19.0,AKOBA,Praha 8-Kobylisy,praha-8,14.467578,50.122189,2026-03-13 02:00
ALIBA,2026-03-13 02:00:00,O3,29.1,ALIBA,Praha 4-Libuš,praha-12,14.445933,50.007305,2026-03-13 02:00
ASROA,2026-03-13 02:00:00,NO2,9.4,ASROA,Praha 10-Šrobárova,praha-10,14.472661,50.07515,2026-03-13 02:00
ASROA,2026-03-13 02:00:00,PM10,12.6,ASROA,Praha 10-Šrobárova,praha-10,14.472661,50.07515,2026-03-13 02:00
ASROA,2026-03-13 02:00:00,PM2_5,10.5,ASROA,Praha 10-Šrobárova,praha-10,14.472661,50.07515,2026-03-13 02:00
AKALA,2026-03-13 02:00:00,PM10,15.0,AKALA,Praha 8-Karlín,praha-8,14.442049,50.094238,2026-03-13 02:00
AKALA,2026-03-13 02:00:00,NO2,24.7,AKALA,Praha 8-Karlín,praha-8,14.442049,50.094238,2026-03-13 02:00
ASTOA,2026-03-13 02:00:00,O3,12.6,ASTOA,Praha 5-Stodůlky,praha-13,14.331413,50.046131,2026-03-13 02:00
ASTOA,2026-03-13 02:00:00,PM10,15.1,ASTOA,Praha 5-Stodůlky,praha-13,14.331413,50.046131,2026-03-13 02:00
ASTOA,2026-03-13 02:00:00,PM2_5,17.1,ASTOA,Praha 5-Stodůlky,praha-13,14.331413,50.046131,2026-03-13 02:00
ACHOA,2026-03-13 02:00:00,PM10,8.5,ACHOA,Praha 4-Chodov,praha-11,14.51745,50.03017,2026-03-13 02:00
ACHOA,2026-03-13 02:00:00,NO2,8.2,ACHOA,Praha 4-Chodov,praha-11,14.51745,50.03017,2026-03-13 02:00
ASUCA,2026-03-13 02:00:00,O3,10.8,ASUCA,Praha 6-Suchdol,praha-lysolaje,14.384639,50.12653,2026-03-13 02:00
ASUCA,2026-03-13 02:00:00,PM10,20.9,ASUCA,Praha 6-Suchdol,praha-lysolaje,14.384639,50.12653,2026-03-13 02:00
AVRSA,2026-03-13 02:00:00,NO2,16.2,AVRSA,Praha 10-Vršovice,praha-10,14.446152,50.066429,2026-03-13 02:00
AVRSA,2026-03-13 02:00:00,PM10,28.5,AVRSA,Praha 10-Vršovice,praha-10,14.446152,50.066429,2026-03-13 02:00
AKOBA,2026-03-13 02:00:00,PM10,13.7,AKOBA,Praha 8-Kobylisy,praha-8,14.467578,50.122189,2026-03-13 02:00
ARIEA,2026-03-13 02:00:00,SO2,1.3,ARIEA,Praha 2-Riegrovy sady,praha-2,14.442692,50.081482,2026-03-13 02:00
ARIEA,2026-03-13 02:00:00,PM2_5,9.5,ARIEA,Praha 2-Riegrovy sady,praha-2,14.442692,50.081482,2026-03-13 02:00
ARIEA,2026-03-13 02:00:00,PM10,12.5,ARIEA,Praha 2-Riegrovy sady,praha-2,14.442692,50.081482,2026-03-13 02:00
ALIBA,2026-03-13 02:00:00,PM10,10.8,ALIBA,Praha 4-Libuš,praha-12,14.445933,50.007305,2026-03-13 02:00
